"","code_station","libelle_station","code_departement","libelle_departement","code_commune","libelle_commune","code_region","libelle_region","code_bassin","libelle_bassin","code_cours_eau","libelle_cours_eau","code_campagne","code_reseau","libelle_reseau","code_ecoulement","libelle_ecoulement","longitude","latitude","date_campagne","nombre_modalite_ecoulement","code_type_campagne","libelle_type_campagne","uri_reseau","etat_station","Annee"
"61","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","68246","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2016-07-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"62","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","68144","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2016-06-28,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"63","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","67954","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2016-05-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"64","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","67548","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2015-09-28,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2015
"65","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","67378","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2015-08-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2015
"66","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","67262","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2015-07-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2015
"67","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","67095","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2015-07-17,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2015
"68","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","67005","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2015-06-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2015
"69","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","66902","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2015-05-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2015
"70","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","65651","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2014-09-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2014
"71","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","65050","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2014-08-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2014
"72","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","63754","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2014-07-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2014
"73","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","62853","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2014-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2014
"74","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","62550","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2014-06-11,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2014
"75","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","62450","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2014-05-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2014
"76","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","1203","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2013-09-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2013
"77","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","1099","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2013-08-29,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2013
"78","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","975","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2013-07-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2013
